ID,DENSITY,FLUID_ID,GASEOUS,IMAGE_FILE_PATH,INTERNAL_NAME,LOCALIZED_NAME,LUMINOSITY,MOD_ID,NBT,TEMPERATURE,UNLOCALIZED_NAME,VISCOSITY
f~AWWayofTime~lifeessence,2000,87,false,fluid/AWWayofTime/lifeessence.png,lifeessence,Life Essence,0,AWWayofTime,,295,fluid.LifeEssence,2000
f~Automagy~fluidmilk,1000,84,false,fluid/Automagy/fluidmilk.png,fluidmilk,Milk,0,Automagy,,300,fluid.fluidMilk,1050
f~Automagy~fluidmushroom,1000,85,false,fluid/Automagy/fluidmushroom.png,fluidmushroom,Mushroom Soup,0,Automagy,,300,fluid.fluidMushroom,1500
f~Automagy~fluidvishroom,1000,86,false,fluid/Automagy/fluidvishroom.png,fluidvishroom,Vishroom Soup,8,Automagy,,300,fluid.fluidVishroom,1500
f~BiomesOPlenty~hell_blood,1000,56,false,fluid/BiomesOPlenty/hell_blood.png,hell_blood,Blood,0,BiomesOPlenty,,300,fluid.hell_blood,1000
f~BiomesOPlenty~honey,1000,57,false,fluid/BiomesOPlenty/honey.png,honey,Honey,0,BiomesOPlenty,,300,fluid.honey,1500
f~BiomesOPlenty~poison,1000,55,false,fluid/BiomesOPlenty/poison.png,poison,Poison,0,BiomesOPlenty,,300,fluid.poison,1000
f~BloodArsenal~molten.blood_infused_iron,3000,1475,false,fluid/BloodArsenal/molten.blood_infused_iron.png,molten.blood_infused_iron,Molten Blood Infused Iron,0,BloodArsenal,,1400,fluid.molten.blood_infused_iron,6000
f~BuildCraftEnergy~fuel,1000,53,false,fluid/BuildCraftEnergy/fuel.png,fuel,Fuel,0,BuildCraft|Energy,,295,fluid.fuel,1000
f~BuildCraftEnergy~oil,800,52,false,fluid/BuildCraftEnergy/oil.png,oil,Oil,0,BuildCraft|Energy,,295,fluid.oil,10000
f~BuildCraftEnergy~redplasma,10000,54,false,fluid/BuildCraftEnergy/redplasma.png,redplasma,fluid.redplasma,30,BuildCraft|Energy,,300,fluid.redplasma,10000
f~EnderIO~cloud_seed,500,75,false,fluid/EnderIO/cloud_seed.png,cloud_seed,Cloud Seed,0,EnderIO,,300,fluid.cloud_seed,800
f~EnderIO~cloud_seed_concentrated,1000,76,false,fluid/EnderIO/cloud_seed_concentrated.png,cloud_seed_concentrated,Concentrated Cloud Seed,0,EnderIO,,300,fluid.cloud_seed_concentrated,1200
f~EnderIO~ender_distillation,200,77,false,fluid/EnderIO/ender_distillation.png,ender_distillation,Dew of the Void,0,EnderIO,,175,fluid.ender_distillation,1000
f~EnderIO~fire_water,900,73,false,fluid/EnderIO/fire_water.png,fire_water,Fire Water,0,EnderIO,,2600,fluid.fire_water,1000
f~EnderIO~hootch,900,71,false,fluid/EnderIO/hootch.png,hootch,Hootch,0,EnderIO,,300,fluid.hootch,1000
f~EnderIO~liquid_sunshine,200,74,false,fluid/EnderIO/liquid_sunshine.png,liquid_sunshine,Liquid Sunshine,0,EnderIO,,300,fluid.liquid_sunshine,400
f~EnderIO~nutrient_distillation,1500,70,false,fluid/EnderIO/nutrient_distillation.png,nutrient_distillation,Nutrient Distillation,0,EnderIO,,300,fluid.nutrient_distillation,3000
f~EnderIO~rocket_fuel,900,72,false,fluid/EnderIO/rocket_fuel.png,rocket_fuel,Rocket Fuel,0,EnderIO,,295,fluid.rocket_fuel,1000
f~EnderIO~vapor_of_levity,-10,78,true,fluid/EnderIO/vapor_of_levity.png,vapor_of_levity,Vapor of Levity,0,EnderIO,,5,fluid.vapor_of_levity,100
f~ExtraBees~acid,1000,88,false,fluid/ExtraBees/acid.png,acid,Acid,0,ExtraBees,,300,fluid.acid,1000
f~ExtraTrees~latex,1000,91,false,fluid/ExtraTrees/latex.png,latex,Latex,0,ExtraTrees,,300,fluid.latex,1000
f~ExtraTrees~resin,1000,90,false,fluid/ExtraTrees/resin.png,resin,Resin,0,ExtraTrees,,300,fluid.resin,1000
f~ExtraTrees~sap,1000,89,false,fluid/ExtraTrees/sap.png,sap,Sap,0,ExtraTrees,,300,fluid.sap,1000
f~ExtraTrees~turpentine,1000,92,false,fluid/ExtraTrees/turpentine.png,turpentine,Turpentine,0,ExtraTrees,,300,fluid.turpentine,1000
f~ExtraUtilities~molten.bedrockiumingots,3000,1245,false,fluid/ExtraUtilities/molten.bedrockiumingots.png,molten.bedrockiumingots,Molten Bedrockium Ingots,0,ExtraUtilities,,1300,fluid.molten.bedrockiumIngots,6000
f~ExtraUtilities~molten.unstableingots,3000,1246,false,fluid/ExtraUtilities/molten.unstableingots.png,molten.unstableingots,Molten Unstable Ingots,0,ExtraUtilities,,1300,fluid.molten.unstableIngots,6000
f~Forestry~bioethanol,790,59,false,fluid/Forestry/bioethanol.png,bioethanol,Ethanol,0,Forestry,,295,fluid.bioethanol,1000
f~Forestry~biomass,400,60,false,fluid/Forestry/biomass.png,biomass,Biomass,0,Forestry,,295,fluid.biomass,6560
f~Forestry~for.honey,1420,62,false,fluid/Forestry/for.honey.png,for.honey,Honey,0,Forestry,,295,fluid.for.honey,73600
f~Forestry~glass,2400,61,false,fluid/Forestry/glass.png,glass,Liquid Glass,0,Forestry,,1200,fluid.glass,10000
f~Forestry~ice,920,63,false,fluid/Forestry/ice.png,ice,Crushed Ice,0,Forestry,,265,fluid.ice,1000
f~Forestry~juice,1000,64,false,fluid/Forestry/juice.png,juice,Fruit Juice,0,Forestry,,295,fluid.juice,1000
f~Forestry~mead,1000,67,false,fluid/Forestry/mead.png,mead,Mead,0,Forestry,,295,fluid.mead,1200
f~Forestry~seedoil,885,65,false,fluid/Forestry/seedoil.png,seedoil,Seed Oil,0,Forestry,,295,fluid.seedoil,5000
f~Forestry~short.mead,1000,66,false,fluid/Forestry/short.mead.png,short.mead,Short Mead,0,Forestry,,295,fluid.short.mead,1200
f~GalacticraftCore~fuelgc,400,1248,false,fluid/GalacticraftCore/fuelgc.png,fuelgc,fuelgc,0,GalacticraftCore,,300,fluid.fuelgc,900
f~GalacticraftCore~oilgc,800,1247,false,fluid/GalacticraftCore/oilgc.png,oilgc,oilgc,0,GalacticraftCore,,300,fluid.oilgc,1500
f~GalacticraftMars~atmosphericgases,1,1249,true,fluid/GalacticraftMars/atmosphericgases.png,atmosphericgases,Atmospheric Gases,0,GalacticraftMars,,295,fluid.atmosphericgases,13
f~GalacticraftMars~bacterialsludge,800,1251,false,fluid/GalacticraftMars/bacterialsludge.png,bacterialsludge,Bacterial Sludge,0,GalacticraftMars,,300,fluid.bacterialsludge,1500
